nome;tipologia;tel;email;web;link1;link2;tipoticket;datamodifica;abstract;descrizione;comune;codice_istat;provincia;datainizio;datafine;foto_con_autore
Stagione di Prosa '15 '16 - Comune di Gioia del Colle;rassegna;080-3484453 / 080-3494270; ;http://www.teatrorossinigioia.it ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-rossini_27.html;pagamento;28-ott-15;Il Teatro Pubblico Pugliese e il Comune di Gioia Del Colle presentano la Stagione di Prosa con spettacoli a partire da novembre 2015 sino a aprile ;Il Teatro Pubblico Pugliese e il Comune di Gioia Del Colle presentano la Stagione di Prosa con spettacoli a partire da novembre 2015 sino a aprile 2016 presso il Teatro Rossini di Gioia Del Colle (BA).;Gioia del Colle;72021;BA;13-nov-15;26-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9816**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9817**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9818
Stagione di Prosa '15 '16 - Comune di San Severo;rassegna; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-verdi_45.html; ;pagamento;20-ott-15;Il Teatro Pubblico Pugliese e il Comune di San Severo presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino a aprile ;Il Teatro Pubblico Pugliese e il Comune di San Severo presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino a aprile 2016 presso il Teatro Verdi di San Severo (FG).;San Severo;71051;FG;16-nov-15;01-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9666**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9667**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9668
Stagione di Prosa '15 '16 - Comune di Taranto;rassegna;099 4725780 - 366.3473430; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-orfeo_71.html;http://www.teatropubblicopugliese.it/teatro/teatro-tata_103.html;pagamento;12-ott-15;Il Teatro Pubblico Pugliese e il Comune di Taranto presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino ad aprile ;Il Teatro Pubblico Pugliese e il Comune di Taranto presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino ad aprile 2016 presso il Teatro TaTA' e il Teatro Orfeo di Taranto (TA).;Taranto;73027;TA;18-nov-15;02-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9433**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9434**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9435**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9449
STRADE MAESTRE 2015 - 2016. I fili del tempo - STAGIONE DI TEATRO  DANZA  MUSICA;rassegna;0832 242000;info@teatrokoreja.it;http://www.teatrokoreja.it/koreja/home.php;https://www.facebook.com/cantieriteatralikoreja?fref=ts; ;pagamento;15-mar-16;&#34 In un villaggio africano quando un cantastorie arriva alla fine del suo racconto  appoggia il palmo di una mano sulla terra e dice: poso qui la mia ;&#34 In un villaggio africano quando un cantastorie arriva alla fine del suo racconto  appoggia il palmo di una mano sulla terra e dice: poso qui la mia storia. E aggiunge: cos&#236  forse qualcuno  un giorno  potr&#224  riprenderla&#34   - I fili del tempo - Peter Brook&#13 &#10  &#13 &#10  &#13 &#10 I ricordi non sono mai conservati intatti. Tutt&#8217 altro. Sono fili di tempo. Ognuno di noi custodisce miriade di segnali frammentari che aspettano di essere riportati in vita dal potere dell&#8217 immaginazione. Che aspettano di essere riannodati. In teatro niente &#232  materia ma puro accadere  evento  incontro. Un costruire continuo senza lasciare tracce tangibili. Questo &#232  il potere  la magia.&#13 &#10 Cos&#236  ci muoviamo fra biografia vissuta  origini ritrovate ogni giorno e un futuro di viaggi senza meta in cui casualit&#224  apparenti  circostanze sconnesse  incontri fortuiti costruiscono l&#8217 efficacia di una scelta presente.&#13 &#10 Incapaci di essere addomesticati  anestetizzati da un presente che ci vuole belli e perfetti  ricerchiamo il valore e il pregio di ogni imperfezione  di ogni diversit&#224  che ci rende individui unici  di ogni ruga  di ogni piega del tempo che nasconde e restituisce all&#8217 improvviso. Accogliere  ascoltare e guardare  aprire l&#8217 anima con un misterioso dialogo intellettuale ed emotivo. Perch&#233  il teatro &#232  degli attori. Perch&#233  il teatro &#232  degli spettatori. Perch&#233  il teatro &#232  una casa dove attori e spettatori si incontrano e creano una comunit&#224 . Una comunit&#224  provvisoria e poetica: la vita.;Lecce;75035;LE;20-nov-15;31-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9794**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10038
72&#170  Stagione Concertistica degli Amici della Musica &#8220 Arcangelo Speranza&#8221 ;rassegna;099 7303972;info@amicidellamusicataranto.it;http://www.amicidellamusicataranto.it/home.html;https://www.facebook.com/amicidellamusica.arcangelosperanza/?ref=hl; ;pagamento;15-mar-16;La 72&#170  Stagione Concertistica degli Amici della Musica &#8220 Arcangelo Speranza&#8221   anche quest'anno  offre una programmazione ricca dove la musica classica e quella d&#8217 autore si intrecceranno per dare forza ad una rassegna di altissimo livello con nomi di prestigio che si alterneranno tra il palcoscenico dello storico teatro Orfeo e l&#8217 Auditorium TaTA&#8217 . ;La 72&#170  Stagione Concertistica degli Amici della Musica &#8220 Arcangelo Speranza&#8221   anche quest'anno  offre una programmazione ricca dove la musica classica e quella d&#8217 autore si intrecceranno per dare forza ad una rassegna di altissimo livello con nomi di prestigio che si alterneranno tra il palcoscenico dello storico teatro Orfeo e l&#8217 Auditorium TaTA&#8217 . &#13 &#10 Artisti di chiara fama internazionale e concerti in esclusiva  come nella migliore tradizione del sodalizio  ci accompagneranno per tutta la stagione invernale: dall&#8217 intramontabile storia di Carmen danzata da Rossella Brescia al gospel natalizio del pastore Patrick George  dal celebre pianista Ramin Bahrami al violinista Sergej Krylov  dalla voce di Giancarlo Giannini alla canzone d&#8217 autore di Eugenio Finardi fino a concludere con l&#8217 operetta pi&#249  amata al mondo  La Vedova Allegra. Il tutto per 15 eventi!&#13 &#10 Eventi di grande prestigio e qualit&#224  per questa nuova Stagione Concertistica di levatura internazionale  che non mancher&#224  di regalarci emozioni..  &#13 &#10 ;Taranto;73027;TA;04-dic-15;22-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10288
Stagione di Prosa '15 '16 - Comune di Corato;rassegna; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_corato_2323.html; ;pagamento;27-nov-15;Il Teatro Pubblico Pugliese e il Comune di Corato presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016;Il Teatro Pubblico Pugliese e il Comune di Corato presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016 presso il Teatro Comunale di Corato.;Corato;72020;BA;05-dic-15;09-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10338
Da Terra di Bari a Citt&#224  Metropolitana Immagini del territorio (1860-1960) dalle collezioni della Pinacoteca;semplice;0805412420 -1 -7;pincorradogiaquinto@tiscali.it;http://www.pinacotecabari.it; ; ;pagamento;09-mar-16;Mostra citt&#224  metropolitana territorio collezioni Pinacoteca;La mostra &#34 Da Terra di Bari a Citt&#224  Metropolitana Immagini del territorio dalle collezioni della Pinacoteca Metropolitana di Bari 1860-1960&#34 nasce dalla volont&#224  di raccontare  attraverso una selezione di oltre 120 dipinti  la storia di un territorio che nel corso del tempo ha sub&#236 to numerose modifiche e la cui estensione si &#232  andata via via contraendo  quale &#232  della Terra  poi Provincia  poi Citt&#224  Metropolitana di Bari.&#13 &#10 Soprattutto la recente istituzione della nuova Provincia denominata BAT ha  sottratto  alla ex Provincia di Bari centri di grande importanza quali  oltre Barletta  Andria e Trani  Canosa  Bisceglie  Minervino  nonch&#233  siti storico-artistici prestigiosi come Casteldelmonte.&#13 &#10 Gi&#224  nel 1929  a seguito dell&#8217 istituzione della Provincia di Brindisi  erano stati sottratti  i comuni di Cisternino e Fasano.&#13 &#10 Scopo della mostra &#232  quindi quello di riflettere su questa ampia zona della Puglia che  a cominciare dall&#8217 antica Peucetia  ha avuto una sua connotazione identitaria molto precisa e riconoscibile  attraverso la riconsiderazione di un patrimonio che &#232   s&#236   artistico  ma che pu&#242  essere utilizzato anche da punti di vista diversi. &#13 &#10 Il percorso sar&#224  ovviamente culturale  e si articoler&#224  in una serie di tematiche ciascuna delle quali approfondir&#224  un diverso punto di vista sul territorio.&#13 &#10 La mostra &#232  accompagnata da un catalogo  a cura di Clara Gelao comprendente saggi introduttivi di vari studiosi  la riproduzione a colori di tutte le opere in mostra e le relative schede.&#13 &#10 ;Bari;72006;BA;12-dic-15;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10960**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10959**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10296**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10972 (N.ARMENISE Festa San Nicola) 
Stagione di Prosa '15 '16 - Comune di Torremaggiore;rassegna;0882-384970; ;http://www.teatropubblicopugliese.it/teatro/teatro-rossi_46.html;http://www.teatropubblicopugliese.it; ;pagamento;26-nov-15;Il Teatro Pubblico Pugliese e il Comune di Torremaggiore presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad ;Il Teatro Pubblico Pugliese e il Comune di Torremaggiore presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016 presso il Teatro Rossi di Torremaggiore (FG).;Torremaggiore;71056;FG;12-dic-15;17-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10326**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10328**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10329
Stagione di Prosa '15 '16 - Comune di Bitonto;rassegna; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_bitonto_710.html;http://www.comune.bitonto.ba.it/;pagamento;09-nov-15;Il Teatro Pubblico Pugliese e il Comune di Bitonto presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile ;Il Teatro Pubblico Pugliese e il Comune di Bitonto presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016 presso il Teatro Comunale Tommaso Traetta di Bitonto.;Bitonto;72011;BA;13-dic-15;16-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10001
Stagione di Prosa '15 '16 - Comune di Fasano;rassegna;080-4413150; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-kennedy_35.html; ;pagamento;24-nov-15;Il Teatro Pubblico Pugliese e il Comune di Fasano presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino a aprile 2016 ;Il Teatro Pubblico Pugliese e il Comune di Fasano presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino a aprile 2016 presso il Teatro Kennedy di Fasano (BR).;Fasano;74007;BR;16-dic-15;15-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10256**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10257**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10258
Stagione di Prosa '15 '16 - Comune di Ostuni;rassegna;0831-338065; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_ostuni_4849.html; ;pagamento;03-dic-15;Il Teatro Pubblico Pugliese e il Comune di Ostuni presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino a maggio 2016 ;Il Teatro Pubblico Pugliese e il Comune di Ostuni presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino a maggio 2016 presso il Teatro Comunale Roma di Ostuni.;Ostuni;74012;BR;18-dic-15;22-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10484
Stagione di Prosa '15 '16 - Comune di Conversano;rassegna;080.4959547 / 080.4951027 / 3339864427 - 339.5094105; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_conversano_2316.html; ;pagamento;25-nov-15;Il Teatro Pubblico Pugliese e il Comune di Conversano presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile ;Il Teatro Pubblico Pugliese e il Comune di Conversano presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016 presso il Teatro Comunale di Corato.;Conversano;72019;BA;18-dic-15;05-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10291
Stagione di Prosa '15 '16 - Comune di Melendugno;rassegna;0832-832217; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_melendugno_3979.html; ;pagamento;15-dic-15;Il Teatro Pubblico Pugliese e il Comune di Melendugno presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile ;Il Teatro Pubblico Pugliese e il Comune di Melendugno presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016 presso il Cinema-Teatro Nuovo Cinema Paradiso.;Melendugno;75043;LE;20-dic-15;01-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10618
